,pid,burning_time,arrival,waiting_time,cpu_time,response_time
0,2,2,4,0,2,0
1,20,3,4,2,3,2
2,61,2,4,5,2,5
3,70,2,4,7,2,7
4,50,6,5,8,6,8
5,97,4,5,14,4,14
6,7,2,5,18,2,18
7,32,3,5,20,3,20
8,31,2,6,22,2,22
9,47,2,6,24,2,24
10,73,2,6,26,2,26
11,75,3,6,28,3,28
12,38,2,6,31,2,31
13,89,3,6,33,3,33
14,12,3,6,36,3,36
15,79,2,7,38,2,38
16,81,2,7,40,2,40
17,3,2,7,42,2,42
18,82,11,7,44,11,44
19,57,4,7,55,4,55
20,21,2,7,59,2,59
21,22,4,7,61,4,61
22,48,2,7,65,2,65
23,95,2,7,67,2,67
24,40,3,7,69,3,69
25,44,5,7,72,5,72
26,43,2,7,77,2,77
27,39,2,8,78,2,78
28,53,2,8,80,2,80
29,87,3,8,82,3,82
30,68,3,8,85,3,85
31,45,20,8,88,20,88
32,66,2,8,108,2,108
33,1,2,8,110,2,110
34,18,42,8,112,42,112
35,4,2,8,154,2,154
36,14,2,8,156,2,156
37,13,2,8,158,2,158
38,28,2,8,160,2,160
39,54,2,9,161,2,161
40,52,3,9,163,3,163
41,77,2,9,166,2,166
42,25,2,9,168,2,168
43,78,8,9,170,8,170
44,67,2,9,178,2,178
45,85,3,9,180,3,180
46,92,2,9,183,2,183
47,10,2,9,185,2,185
48,83,2,10,186,2,186
49,8,2,10,188,2,188
50,88,2,10,190,2,190
51,74,3,10,192,3,192
52,90,2,10,195,2,195
53,16,2,10,197,2,197
54,93,2,10,199,2,199
55,65,3,10,201,3,201
56,100,4,10,204,4,204
57,36,2,10,208,2,208
58,49,3,10,210,3,210
59,37,2,10,213,2,213
60,51,2,10,215,2,215
61,55,2,10,217,2,217
62,29,2,10,219,2,219
63,27,2,10,221,2,221
64,23,2,10,223,2,223
65,58,10,11,224,10,224
66,99,2,11,234,2,234
67,26,2,11,236,2,236
68,15,2,11,238,2,238
69,46,8,11,240,8,240
70,64,2,11,248,2,248
71,63,2,11,250,2,250
72,80,2,12,251,2,251
73,6,2,12,253,2,253
74,96,3,12,255,3,255
75,84,2,12,258,2,258
76,86,3,12,260,3,260
77,11,2,12,263,2,263
78,62,6,12,265,6,265
79,59,2,12,271,2,271
80,69,3,12,273,3,273
81,60,2,13,275,2,275
82,5,2,13,277,2,277
83,94,2,13,279,2,279
84,33,4,13,281,4,281
85,30,4,13,285,4,285
86,24,2,13,289,2,289
87,35,2,13,291,2,291
88,71,2,13,293,2,293
89,17,2,13,295,2,295
90,41,2,14,296,2,296
91,34,5,14,298,5,298
92,72,2,14,303,2,303
93,19,2,14,305,2,305
94,91,7,15,306,7,306
95,9,69,15,313,69,313
96,56,4,16,381,4,381
97,76,59,16,385,59,385
98,98,2,16,444,2,444
99,42,7,17,445,6,445
